기간,한국 수출금액,한국의대중국수출,한국의대미국수출,한국의대베트남수출,한국의대홍콩수출,한국의대일본수출
2009-09,33922428618 ,8363324548 ,3387117003 ,649437259 ,1696969684 ,2189255220 
2009-10,33970032167 ,8178383088 ,3190151618 ,695379696 ,1881268385 ,2014269632 
2009-11,33991607471 ,8162746466 ,3485643547 ,671538123 ,1986934711 ,2101004828 
2009-12,36009622532 ,9103778567 ,3357742135 ,789944748 ,1928671055 ,2066034758 
2010-01,30735415239 ,8845994500 ,3057539746 ,630172112 ,1633591813 ,1876023581 
2010-02,33039402331 ,7954960842 ,3406384973 ,530153397 ,1903182118 ,1952521443 
2010-03,37308940314 ,9761155649 ,4072583755 ,696618200 ,2109175034 ,2124224922 
2010-04,39301013507 ,9911316633 ,4338592803 ,859464393 ,2054124682 ,2195317214 
2010-05,38887929677 ,9605689273 ,4157684544 ,735725132 ,2333540724 ,2261134956 
2010-06,42049044611 ,9550810959 ,4466322929 ,803822531 ,2324134640 ,2367823540 
2010-07,40423610784 ,9878814065 ,4540970111 ,862378329 ,2089795417 ,2485476304 
2010-08,36480955462 ,9612204216 ,4050745180 ,788435685 ,2162058130 ,2413490771 
2010-09,39410882408 ,9714201518 ,4149300882 ,858723234 ,2041916588 ,2377541636 
2010-10,43340335313 ,10348323534 ,4777592881 ,948494601 ,2231244743 ,2666567994 
2010-11,41260912134 ,10586575214 ,4447906701 ,906755555 ,2224595332 ,2784634187 
2010-12,44145319927 ,11067787000 ,4350433455 ,1031330239 ,2186986967 ,2671524631 
2011-01,44465366339 ,10029211217 ,4143179382 ,972256499 ,2368098461 ,2938130750 
2011-02,38467411994 ,9577541711 ,3812273860 ,761839808 ,2085626661 ,2701368512 
2011-03,48052991328 ,11518731476 ,4643161735 ,1128867092 ,2566588464 ,3257020652 
2011-04,48536725405 ,10807465994 ,5094082851 ,1182297719 ,2611215292 ,3575084786 
2011-05,47331328872 ,11294812145 ,5171509689 ,1085870458 ,2759156235 ,3058715128 
2011-06,46736892626 ,11126425492 ,4969268572 ,1039279686 ,2312012166 ,3402468503 
2011-07,48950113013 ,11829362508 ,4650593591 ,1012044849 ,2864386328 ,3407616401 
2011-08,45792060934 ,11615643560 ,4322256349 ,1167195552 ,2853164440 ,3425151059 
2011-09,46510964789 ,11664543504 ,4794608984 ,1306856539 ,2344299427 ,3414076198 
2011-10,46613479836 ,11842269115 ,4604884789 ,1226446881 ,3070063782 ,3291812320 
2011-11,46012595310 ,11194390060 ,5401548478 ,1264671906 ,2667430107 ,3488538645 
2011-12,47743725397 ,11684611820 ,4600334466 ,1317295005 ,2466363303 ,3719723337 
2012-01,41200357940 ,9793924454 ,4123411437 ,1061188915 ,2540872940 ,3270842174 
2012-02,46316183638 ,10500481337 ,5619301450 ,1259403126 ,2775074973 ,3503411607 
2012-03,47329816570 ,11043089650 ,5934643568 ,1251894087 ,2978444630 ,3329166847 
2012-04,46094754124 ,10463536254 ,5307363135 ,1237804270 ,2684699609 ,2751439767 
2012-05,46872357095 ,10716030491 ,4726885740 ,1286975266 ,3024354148 ,3093617482 
2012-06,47162604994 ,10828777757 ,4977490336 ,1369072255 ,2539827120 ,3402562013 
2012-07,44667681428 ,11247341363 ,4692004268 ,1351975837 ,2226851858 ,3337717682 
2012-08,43045181248 ,11061860561 ,4221897982 ,1380809715 ,2487766109 ,3179793894 
2012-09,45412538010 ,11783075626 ,4813841920 ,1340309229 ,3038832724 ,2967153292 
2012-10,47087760006 ,12461125903 ,4438501425 ,1378261202 ,2893857628 ,3291482280 
2012-11,47805245779 ,12429057074 ,5113742215 ,1529012572 ,2814775645 ,3622014649 
2012-12,44875311309 ,11994263599 ,4555475076 ,1499268932 ,2600831372 ,3046855254 
2013-01,45673108992 ,11425208289 ,4960891720 ,1489705029 ,2213281582 ,3518915044 
2013-02,42331836668 ,10387585991 ,5002517619 ,1445586525 ,1909950723 ,2900960556 
2013-03,47312703650 ,11685542722 ,4978892498 ,1827242882 ,2564802898 ,2703276679 
2013-04,46157925207 ,12136960810 ,5347295434 ,1741362024 ,2163472777 ,2430303577 
2013-05,48307560429 ,12481015335 ,5744405046 ,1862563085 ,2380306187 ,2732790263 
2013-06,46690983225 ,11398722435 ,5292652127 ,1674987626 ,2240549143 ,2824465569 
2013-07,45829520579 ,12882114281 ,5153830762 ,1685025064 ,2255632111 ,2839173120 
2013-08,46311340570 ,12474089434 ,4973462842 ,1761322233 ,2333563288 ,2762424162 
2013-09,44650485857 ,11939788435 ,4733798906 ,1833513914 ,2587170376 ,2916580851 
2013-10,50480484208 ,13152509513 ,5465244249 ,2218187920 ,2520634323 ,2987576992 
2013-11,47905028162 ,12920192700 ,5247925002 ,1733503264 ,2321123569 ,3381553819 
2013-12,47981456248 ,12985768328 ,5151571399 ,1814582064 ,2265821348 ,2664269482 
